InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704067200000,1704672000000,2352.05000000,2431.30000000,2100.00000000,2221.42000000,2512389.76500000,10080,8640,True
1704672000000,1705276800000,2221.42000000,2717.32000000,2166.38000000,2472.87000000,4583690.21250000,10080,10080,False
1705276800000,1705881600000,2472.87000000,2614.43000000,2415.20000000,2457.05000000,2198099.09100000,10080,10080,False
1705881600000,1706486400000,2457.06000000,2466.10000000,2168.07000000,2256.90000000,2634723.45410000,10080,10080,False
1706486400000,1707091200000,2256.90000000,2391.98000000,2233.80000000,2289.79000000,1929216.69680000,10080,10080,False
1707091200000,1707696000000,2289.79000000,2539.63000000,2269.11000000,2507.21000000,2183844.03910000,10080,10080,False
1707696000000,1708300800000,2507.22000000,2895.00000000,2472.00000000,2881.20000000,2884670.96570000,10080,10080,False
1708300800000,1708905600000,2881.20000000,3122.00000000,2856.93000000,3112.59000000,3325600.66480000,10080,10080,False
1708905600000,1709510400000,3112.60000000,3522.81000000,3036.59000000,3487.81000000,3918303.82820000,10080,10080,False
1709510400000,1710115200000,3487.80000000,3993.75000000,3200.00000000,3878.47000000,4876443.96260000,10080,10080,False
1710115200000,1710720000000,3878.47000000,4093.92000000,3412.00000000,3644.71000000,4498501.76670000,10080,10080,False
1710720000000,1711324800000,3644.70000000,3645.02000000,3056.56000000,3454.98000000,4573957.97960000,10080,10080,False
1711324800000,1711929600000,3454.99000000,3678.86000000,3420.12000000,3645.29000000,2678017.32350000,10080,10080,False
1711929600000,1712534400000,3645.29000000,3645.95000000,3202.79000000,3454.20000000,2537269.62100000,10080,10080,False
1712534400000,1713139200000,3454.20000000,3730.71000000,2852.00000000,3155.11000000,4111856.88350000,10080,10080,False
1713139200000,1713744000000,3155.11000000,3277.85000000,2865.18000000,3147.67000000,3082901.56690000,10080,10080,False
1713744000000,1714348800000,3147.66000000,3357.40000000,3066.74000000,3263.45000000,2171496.93070000,10080,10080,False
1714348800000,1714953600000,3263.44000000,3286.95000000,2817.00000000,3136.41000000,2745302.32830000,10080,10080,False
1714953600000,1715558400000,3136.40000000,3221.40000000,2878.03000000,2929.29000000,1733118.16110000,10080,10080,False
1715558400000,1716163200000,2929.30000000,3146.98000000,2862.00000000,3071.19000000,2006314.86750000,10080,10080,False
1716163200000,1716768000000,3071.20000000,3949.29000000,3047.67000000,3826.47000000,4432688.16280000,10080,10080,False
1716768000000,1717372800000,3826.47000000,3977.00000000,3702.58000000,3780.91000000,2008150.81320000,10080,10080,False
1717372800000,1717977600000,3780.92000000,3887.47000000,3600.00000000,3706.40000000,1598380.54360000,10080,10080,False
1717977600000,1718582400000,3706.40000000,3713.67000000,3362.26000000,3624.41000000,2002012.37910000,10080,10080,False
1718582400000,1719187200000,3624.41000000,3638.37000000,3355.00000000,3420.91000000,2029677.93770000,10080,10080,False
1719187200000,1719792000000,3420.91000000,3487.70000000,3240.00000000,3438.16000000,1642583.37630000,10080,10080,False
1719792000000,1720396800000,3438.16000000,3524.94000000,2810.00000000,2931.00000000,2404392.04160000,10080,10080,False
1720396800000,1721001600000,2930.99000000,3268.72000000,2822.80000000,3245.08000000,1811337.98830000,10080,10080,False
1721001600000,1721606400000,3245.20000000,3547.00000000,3233.22000000,3535.92000000,1896101.91830000,10080,10080,False
1721606400000,1722211200000,3535.93000000,3562.82000000,3087.53000000,3270.16000000,2073949.17650000,10080,10080,False
1722211200000,1722816000000,3270.16000000,3396.77000000,2630.00000000,2688.92000000,2315109.23170000,10080,10080,False
1722816000000,1723420800000,2688.91000000,2724.10000000,2111.00000000,2555.38000000,5404357.43980000,10080,10080,False
1723420800000,1724025600000,2555.38000000,2780.00000000,2510.05000000,2612.15000000,2038545.33880000,10080,10080,False
1724025600000,1724630400000,2612.15000000,2820.00000000,2536.22000000,2746.13000000,1770389.37410000,10080,10080,False
1724630400000,1725235200000,2746.12000000,2762.00000000,2392.96000000,2425.72000000,1972091.52640000,10080,10080,False
1725235200000,1725840000000,2425.71000000,2564.83000000,2150.55000000,2297.30000000,2205410.41860000,10080,10080,False
1725840000000,1726444800000,2297.30000000,2464.82000000,2272.80000000,2316.10000000,1582774.64700000,10080,10080,False
1726444800000,1727049600000,2316.09000000,2632.57000000,2252.39000000,2581.00000000,1934203.91780000,10080,10080,False
1727049600000,1727654400000,2580.99000000,2728.60000000,2539.49000000,2657.62000000,1700523.16970000,10080,10080,False
1727654400000,1728259200000,2657.62000000,2663.50000000,2310.00000000,2440.03000000,1866301.09600000,10080,10080,False
1728259200000,1728864000000,2440.02000000,2521.00000000,2330.66000000,2468.91000000,1496864.65010000,10080,10080,False
1728864000000,1729468800000,2468.92000000,2759.00000000,2443.39000000,2746.91000000,1988901.42050000,10080,10080,False
1729468800000,1730073600000,2746.91000000,2769.48000000,2382.59000000,2507.80000000,2121027.52610000,10080,10080,False
1730073600000,1730678400000,2507.80000000,2722.30000000,2411.00000000,2457.73000000,2528794.71420000,10080,10080,False
1730678400000,1731283200000,2457.73000000,3248.52000000,2357.59000000,3183.21000000,4332044.12160000,10080,10080,False
1731283200000,1731888000000,3183.20000000,3442.50000000,3014.50000000,3076.00000000,4891858.48230000,10080,10080,False
1731888000000,1732492800000,3075.99000000,3497.51000000,3029.41000000,3361.20000000,4422697.39450000,10080,10080,False
1732492800000,1733097600000,3361.21000000,3746.80000000,3252.00000000,3707.61000000,4295514.85050000,10080,10080,False
1733097600000,1733702400000,3707.61000000,4087.73000000,3500.00000000,4004.15000000,4669905.39120000,10080,10080,False
1733702400000,1734307200000,4004.15000000,4006.17000000,3509.00000000,3959.09000000,3822903.49750000,10080,10080,False
1734307200000,1734912000000,3959.09000000,4107.80000000,3101.90000000,3281.83000000,5094815.40580000,10080,10080,False
1734912000000,1735516800000,3281.83000000,3547.95000000,3216.97000000,3356.48000000,2008743.40210000,10080,10080,False
1735516800000,1736121600000,3356.48000000,3451.00000000,3305.00000000,3360.38000000,914086.40220000,10080,4320,True
