TimestampUtcMs,Open,High,Low,Close,Volume
1735689600000,93576.00000000,93610.93000000,93537.50000000,93610.93000000,8.21827000
1735689660000,93610.93000000,93652.00000000,93606.20000000,93652.00000000,12.14029000
1735689720000,93652.00000000,93702.15000000,93635.98000000,93702.15000000,11.60597000
1735689780000,93702.14000000,93702.15000000,93654.48000000,93677.98000000,8.72958000
1735689840000,93677.98000000,93677.99000000,93659.92000000,93661.20000000,5.24749000
1735689900000,93661.20000000,93678.02000000,93661.20000000,93678.01000000,5.08788000
1735689960000,93678.01000000,93678.02000000,93600.00000000,93632.05000000,30.37050000
1735690020000,93632.04000000,93634.27000000,93612.00000000,93612.01000000,13.39197000
1735690080000,93612.00000000,93612.01000000,93604.86000000,93611.84000000,10.73540000
1735690140000,93611.99000000,93611.99000000,93607.09000000,93607.10000000,12.36010000
1735690200000,93607.10000000,93623.38000000,93536.52000000,93538.61000000,24.36023000
1735690260000,93538.61000000,93550.53000000,93489.03000000,93520.54000000,14.70534000
1735690320000,93520.54000000,93525.67000000,93489.05000000,93519.38000000,7.10384000
1735690380000,93519.38000000,93554.14000000,93519.38000000,93544.49000000,4.51752000
1735690440000,93544.50000000,93656.19000000,93544.50000000,93656.18000000,7.28235000
1735690500000,93656.19000000,93719.50000000,93614.95000000,93702.27000000,6.99047000
1735690560000,93702.27000000,93779.73000000,93702.26000000,93768.02000000,5.59192000
1735690620000,93768.02000000,93827.32000000,93768.02000000,93827.31000000,9.80068000
1735690680000,93827.31000000,93840.05000000,93800.00000000,93824.52000000,4.49902000
1735690740000,93824.52000000,93829.12000000,93794.73000000,93796.35000000,12.86247000
1735690800000,93796.35000000,93866.00000000,93796.35000000,93866.00000000,6.37359000
1735690860000,93866.00000000,93898.05000000,93800.00000000,93800.00000000,19.00035000
1735690920000,93800.01000000,93800.01000000,93733.50000000,93733.50000000,3.67353000
1735690980000,93733.51000000,93751.72000000,93707.81000000,93748.42000000,7.37456000
1735691040000,93748.43000000,93757.58000000,93740.00000000,93740.00000000,1.95850000
1735691100000,93740.00000000,93740.02000000,93734.49000000,93734.50000000,2.48659000
1735691160000,93734.49000000,93734.50000000,93721.00000000,93733.63000000,6.90205000
1735691220000,93733.62000000,93733.63000000,93727.29000000,93727.31000000,1.09465000
1735691280000,93727.30000000,93737.13000000,93727.30000000,93732.03000000,3.22099000
1735691340000,93732.02000000,93761.90000000,93732.02000000,93761.90000000,3.58812000
1735691400000,93761.90000000,93798.21000000,93761.89000000,93798.21000000,2.16765000
1735691460000,93798.21000000,93878.79000000,93798.21000000,93842.33000000,11.47736000
1735691520000,93842.33000000,93963.67000000,93842.33000000,93931.99000000,9.87733000
1735691580000,93931.98000000,93940.52000000,93892.30000000,93892.30000000,14.71913000
1735691640000,93892.31000000,93892.31000000,93882.91000000,93882.92000000,2.95958000
1735691700000,93882.91000000,93894.48000000,93868.00000000,93884.27000000,10.62094000
1735691760000,93884.26000000,93884.27000000,93848.48000000,93861.48000000,4.96638000
1735691820000,93861.48000000,93875.41000000,93836.61000000,93840.92000000,3.22763000
1735691880000,93840.91000000,93924.61000000,93840.91000000,93924.60000000,6.94487000
1735691940000,93924.61000000,93924.61000000,93884.60000000,93909.03000000,3.85219000
1735692000000,93909.03000000,93952.97000000,93899.23000000,93933.18000000,7.68567000
1735692060000,93933.18000000,93933.18000000,93892.00000000,93892.00000000,4.50011000
1735692120000,93892.00000000,93906.24000000,93889.98000000,93893.17000000,3.69293000
1735692180000,93893.18000000,93924.66000000,93893.17000000,93910.01000000,5.65811000
1735692240000,93910.02000000,93910.02000000,93885.00000000,93885.01000000,2.01428000
1735692300000,93885.00000000,93885.01000000,93864.44000000,93864.45000000,1.81259000
1735692360000,93864.45000000,93890.27000000,93864.44000000,93890.26000000,3.38786000
1735692420000,93890.27000000,93960.00000000,93890.26000000,93959.99000000,3.84012000
1735692480000,93959.99000000,93977.98000000,93959.99000000,93977.97000000,4.39366000
1735692540000,93977.97000000,93977.98000000,93977.97000000,93977.97000000,2.63197000
1735692600000,93977.98000000,94087.81000000,93964.07000000,94087.63000000,23.56147000
1735692660000,94087.63000000,94170.01000000,94073.97000000,94170.00000000,29.34800000
1735692720000,94170.01000000,94170.01000000,94143.00000000,94158.21000000,36.95567000
1735692780000,94158.22000000,94200.00000000,94133.33000000,94199.99000000,32.63007000
1735692840000,94200.00000000,94330.59000000,94199.99000000,94260.00000000,31.29322000
1735692900000,94260.00000000,94260.01000000,94216.00000000,94216.00000000,10.53507000
1735692960000,94216.01000000,94224.64000000,94212.13000000,94224.63000000,4.47885000
1735693020000,94224.64000000,94330.62000000,94217.62000000,94330.61000000,42.36971000
1735693080000,94330.61000000,94509.42000000,94293.74000000,94477.83000000,152.36387000
1735693140000,94477.83000000,94488.11000000,94374.50000000,94401.14000000,10.74959000
1735693200000,94401.13000000,94408.72000000,94252.88000000,94280.48000000,16.64563000
1735693260000,94280.47000000,94280.47000000,94212.12000000,94220.01000000,12.75523000
1735693320000,94220.01000000,94220.02000000,94187.50000000,94187.50000000,3.46877000
1735693380000,94187.50000000,94192.96000000,94142.94000000,94142.94000000,6.68980000
1735693440000,94142.94000000,94142.95000000,94105.20000000,94118.41000000,9.65853000
1735693500000,94118.41000000,94118.41000000,93880.00000000,93918.77000000,170.05605000
1735693560000,93918.77000000,93961.00000000,93918.77000000,93935.46000000,9.59913000
1735693620000,93935.47000000,93969.71000000,93935.46000000,93969.71000000,2.37830000
1735693680000,93969.70000000,93983.03000000,93969.70000000,93983.02000000,4.07084000
1735693740000,93983.03000000,94068.00000000,93956.10000000,94061.41000000,6.22259000
1735693800000,94061.41000000,94111.09000000,94061.40000000,94079.65000000,8.59540000
1735693860000,94079.64000000,94101.44000000,94076.00000000,94096.25000000,3.56538000
1735693920000,94096.24000000,94172.00000000,94096.24000000,94152.16000000,10.25694000
1735693980000,94152.16000000,94170.01000000,94146.40000000,94146.40000000,17.17428000
1735694040000,94146.40000000,94159.05000000,94146.39000000,94153.05000000,3.43331000
1735694100000,94153.04000000,94153.05000000,94068.45000000,94068.45000000,3.16111000
1735694160000,94068.46000000,94068.46000000,94000.00000000,94011.93000000,5.95307000
1735694220000,94011.93000000,94011.93000000,93971.68000000,93982.21000000,4.30043000
1735694280000,93982.20000000,93982.21000000,93978.95000000,93978.95000000,1.99356000
1735694340000,93978.96000000,93997.76000000,93971.28000000,93990.24000000,4.43106000
1735694400000,93990.23000000,93990.89000000,93973.70000000,93977.80000000,2.21297000
1735694460000,93977.80000000,93977.80000000,93977.79000000,93977.80000000,0.94016000
1735694520000,93977.80000000,93977.80000000,93977.79000000,93977.80000000,0.98068000
1735694580000,93977.80000000,93977.80000000,93856.65000000,93864.94000000,24.98677000
1735694640000,93864.93000000,93898.14000000,93850.39000000,93898.13000000,3.78999000
1735694700000,93898.14000000,93935.27000000,93898.13000000,93899.70000000,10.12274000
1735694760000,93899.70000000,93899.70000000,93876.34000000,93876.34000000,6.61466000
1735694820000,93876.34000000,93877.35000000,93851.91000000,93877.34000000,11.10387000
1735694880000,93877.34000000,93877.34000000,93843.74000000,93848.37000000,7.04263000
1735694940000,93848.37000000,93851.70000000,93819.60000000,93825.86000000,15.02862000
1735695000000,93825.86000000,93899.99000000,93825.86000000,93899.99000000,9.52333000
1735695060000,93899.99000000,93989.37000000,93899.99000000,93920.48000000,13.07005000
1735695120000,93920.47000000,93947.00000000,93920.47000000,93942.65000000,11.04683000
1735695180000,93942.65000000,93944.46000000,93929.14000000,93930.50000000,2.25739000
1735695240000,93930.50000000,93978.18000000,93930.49000000,93970.23000000,3.93590000
1735695300000,93970.23000000,93970.24000000,93893.29000000,93893.30000000,13.15475000
1735695360000,93893.30000000,93944.80000000,93893.30000000,93944.80000000,5.38613000
1735695420000,93944.79000000,93953.98000000,93931.04000000,93935.53000000,4.12658000
1735695480000,93935.53000000,93935.54000000,93935.53000000,93935.54000000,4.33278000
1735695540000,93935.54000000,93935.54000000,93922.00000000,93922.01000000,2.09055000
1735695600000,93922.01000000,93943.61000000,93917.21000000,93943.61000000,2.57967000
1735695660000,93943.60000000,93971.02000000,93937.29000000,93953.45000000,2.72705000
1735695720000,93953.45000000,93953.46000000,93944.04000000,93944.04000000,0.75922000
1735695780000,93944.04000000,93962.84000000,93944.04000000,93962.84000000,1.49603000
1735695840000,93962.83000000,93962.84000000,93923.14000000,93923.14000000,2.49263000
1735695900000,93923.14000000,93930.48000000,93923.14000000,93930.48000000,5.79456000
1735695960000,93930.48000000,93945.25000000,93927.25000000,93943.92000000,2.36796000
1735696020000,93943.92000000,93943.92000000,93860.78000000,93860.79000000,3.81781000
1735696080000,93860.78000000,93863.25000000,93822.46000000,93826.35000000,4.92583000
1735696140000,93826.35000000,93854.48000000,93826.34000000,93854.48000000,2.47486000
1735696200000,93854.47000000,93854.48000000,93750.33000000,93750.34000000,10.77828000
1735696260000,93750.34000000,93750.34000000,93682.84000000,93711.69000000,38.00424000
1735696320000,93711.68000000,93711.70000000,93578.77000000,93636.41000000,27.49274000
1735696380000,93636.42000000,93688.90000000,93636.41000000,93688.90000000,3.67853000
1735696440000,93688.89000000,93688.89000000,93626.09000000,93626.10000000,5.91358000
1735696500000,93626.10000000,93645.96000000,93626.10000000,93629.14000000,3.44444000
1735696560000,93629.15000000,93629.15000000,93594.42000000,93594.43000000,5.40995000
