Timestamp,Open,High,Low,Close,Volume
1,100,101.51,96.50,100.50,500
2,100.50,107.38,95.59,105.38,500
3,105.38,106.16,103.08,103.20,500
4,103.20,107.89,99.51,100.28,500
5,100.28,104.77,99.79,99.84,500
6,99.84,108.23,95.80,104.14,500
7,104.14,106.64,102.12,105.03,500
8,100.94,109.45,97.81,105.90,500
9,105.90,106.28,100.76,104.88,500
10,105.73,108.00,101.23,103.94,500
11,103.94,105.88,101.36,105.40,500
12,105.40,107.15,101.21,105.37,500
13,105.37,106.99,104.82,105.72,500
14,105.72,110.83,103.74,107.17,500
15,107.17,115.45,102.20,112.12,500
16,112.12,117.38,109.91,115.95,500
17,115.95,122.07,111.65,118.02,500
18,118.02,122.37,112.58,115.46,500
19,115.46,120.29,114.60,119.68,500
20,119.68,123.42,115.56,122.16,500
21,119.27,124.92,116.97,122.61,500
22,122.61,126.38,119.10,120.83,500
23,120.83,125.13,117.56,122.18,500
24,122.18,127.84,120.38,123.21,500
25,123.21,126.37,115.95,119.38,500
26,119.38,119.43,116.04,119.36,500
27,119.36,124.73,116.75,119.91,500
28,119.91,125.22,116.19,121.77,500
29,121.77,129.80,121.53,126.16,500
30,126.16,135.42,124.23,131.00,500
31,131.16,138.27,129.76,135.22,500
32,135.22,136.82,130.20,131.18,500
33,131.18,134.34,123.67,126.77,500
34,127.45,133.68,123.47,129.57,500
35,129.57,135.95,128.42,134.16,500
36,134.16,141.29,129.93,136.56,500
37,136.56,141.14,132.17,136.77,500
38,136.77,139.61,135.54,138.45,500
39,138.45,146.13,136.44,143.17,500
40,143.17,148.02,139.95,145.72,500
41,145.72,151.34,145.44,148.20,500
42,150.22,150.31,147.80,148.93,500
43,145.95,150.32,141.81,150.19,500
44,150.19,153.51,144.70,146.86,500
45,147.61,149.20,145.68,147.06,500
46,147.06,148.93,143.50,146.05,500
47,146.05,148.16,140.20,142.25,500
48,142.26,148.91,142.06,144.39,500
49,148.29,151.07,147.53,150.52,500
50,150.52,154.57,148.19,152.03,500
51,152.03,156.04,148.02,149.23,500
52,149.23,156.39,146.00,151.62,500
53,151.62,151.66,146.25,148.61,500
54,148.61,153.94,147.65,150.19,500
55,150.19,158.19,147.09,154.17,500
56,154.17,155.73,148.79,153.41,500
57,153.41,157.27,145.42,148.96,500
58,148.96,151.91,144.84,148.19,500
59,148.19,152.89,147.42,152.43,500
60,152.43,155.91,147.56,150.97,500
61,150.97,154.05,147.20,149.78,500
62,149.78,154.82,148.62,150.44,500
63,150.44,156.52,145.65,154.63,500
64,154.63,159.96,150.21,158.50,500
65,158.50,165.03,156.65,162.27,500
66,162.27,165.51,157.41,159.72,500
67,159.72,163.23,156.54,158.10,500
68,158.10,161.48,156.00,159.07,500
69,159.07,159.89,151.33,155.30,500
70,155.30,158.42,154.68,158.28,500
71,158.28,162.38,157.88,158.70,500
72,160.00,167.63,156.83,163.22,500
73,163.22,167.38,156.68,160.68,500
74,160.68,163.89,157.02,162.84,500
75,162.84,169.68,158.53,166.89,500
76,166.89,170.42,164.71,168.54,500
77,168.54,174.72,164.93,171.10,500
78,171.10,171.64,162.61,166.86,500
79,166.86,168.98,161.20,163.74,500
80,163.74,168.64,160.34,162.92,500
81,162.92,166.50,161.16,164.72,500
82,164.72,170.29,162.68,165.90,500
83,165.90,169.17,157.04,161.51,500
84,161.51,164.60,154.74,159.12,500
85,159.12,161.00,154.75,160.56,500
86,157.16,157.82,152.82,153.51,500
87,153.51,154.19,150.79,152.25,500
88,152.25,155.93,144.27,148.89,500
89,144.31,149.67,144.18,148.13,500
90,148.13,152.52,144.94,146.52,500
91,146.52,148.62,144.81,145.89,500
92,145.89,148.73,139.81,142.55,500
93,146.79,147.33,143.01,145.09,500
94,145.09,146.67,144.03,145.54,500
95,145.54,149.24,142.41,142.99,500
96,142.99,151.54,138.14,146.95,500
97,146.95,150.64,141.30,144.15,500
98,144.15,151.49,139.17,147.75,500
99,147.75,151.24,143.11,146.66,500
100,146.66,148.75,143.83,147.72,500
101,147.72,149.43,145.69,148.23,500
102,148.23,151.38,146.55,149.49,500
103,152.62,153.09,148.10,148.79,500
104,148.79,151.63,146.27,148.93,500
105,148.93,158.17,144.76,153.43,500
106,153.43,156.90,150.52,156.58,500
107,157.92,162.16,153.06,155.63,500
108,155.63,155.82,150.38,151.24,500
109,151.24,156.55,148.69,153.27,500
110,153.27,160.50,151.27,156.30,500
111,156.30,160.22,153.03,156.50,500
112,156.50,161.72,155.71,157.33,500
113,157.33,162.38,156.03,159.10,500
114,159.10,165.41,158.22,161.73,500
115,161.73,168.77,161.19,163.81,500
116,163.81,167.11,163.53,164.49,500
117,169.14,176.47,164.71,172.41,500
118,172.41,173.15,167.81,168.35,500
119,168.35,169.83,166.69,168.29,500
120,168.29,168.55,163.86,165.82,500
121,165.82,168.88,161.85,163.89,500
122,163.89,166.93,158.44,163.28,500
123,163.28,167.37,159.23,165.14,500
124,165.14,173.82,160.16,169.23,500
125,169.23,174.68,165.46,170.22,500
126,167.94,170.86,162.56,165.10,500
127,165.10,166.44,160.90,163.10,500
128,163.10,169.36,158.40,167.08,500
129,167.08,171.40,162.53,170.10,500
130,170.10,172.72,166.78,167.87,500
131,167.87,169.40,163.68,166.93,500
132,166.93,169.55,162.81,165.70,500
133,165.70,168.68,163.90,167.04,500
134,167.04,169.12,164.83,165.29,500
135,169.27,171.24,167.57,170.54,500
136,170.54,175.72,165.60,171.78,500
137,171.78,172.31,163.64,166.92,500
138,162.30,164.14,157.82,160.50,500
139,160.50,168.72,155.83,164.17,500
140,164.17,170.80,160.71,166.92,500
141,164.14,165.31,160.91,164.82,500
142,164.82,165.67,159.28,163.68,500
143,163.68,167.11,159.28,165.18,500
144,165.18,170.59,161.88,168.01,500
145,168.01,170.09,162.02,166.63,500
146,166.63,167.63,161.68,167.59,500
147,167.59,170.34,162.69,163.60,500
148,165.88,171.22,162.64,169.40,500
149,169.40,170.50,163.96,168.42,500
150,168.42,173.26,165.99,169.65,500
151,169.65,173.00,162.60,167.51,500
152,167.51,172.00,165.55,171.58,500
153,171.58,175.69,169.78,173.63,500
154,173.63,181.09,170.82,177.96,500
155,181.81,185.99,174.77,179.71,500
156,179.71,183.70,174.83,174.95,500
157,174.95,181.19,173.46,179.29,500
158,179.29,182.98,173.22,176.69,500
159,176.69,178.24,170.02,171.71,500
160,167.74,170.07,160.74,164.69,500
161,164.69,166.89,159.90,159.91,500
162,159.91,163.80,156.12,159.42,500
163,159.42,161.08,153.40,157.83,500
164,157.83,159.14,152.70,157.06,500
165,157.06,161.93,152.80,156.32,500
166,156.40,159.77,152.72,156.04,500
167,156.04,161.94,154.93,160.36,500
168,163.17,165.03,158.14,159.13,500
169,159.13,160.92,154.05,154.14,500
170,154.14,157.17,150.79,153.98,500
171,153.98,160.01,149.93,157.98,500
172,157.98,158.99,155.65,158.76,500
173,160.53,164.34,154.27,157.75,500
174,157.75,162.17,156.06,158.34,500
175,158.34,160.83,156.15,158.53,500
176,158.53,160.30,155.95,159.12,500
177,159.12,160.43,156.14,158.72,500
178,158.72,161.16,153.95,154.44,500
179,154.44,157.54,153.12,154.72,500
180,154.72,156.48,152.33,153.68,500
181,153.68,154.20,144.84,149.20,500
182,149.20,152.47,146.99,149.22,500
183,149.22,155.07,144.39,151.02,500
184,148.04,149.74,145.12,145.98,500
185,145.98,147.94,142.06,147.35,500
186,147.35,150.37,139.75,143.42,500
187,143.42,147.34,135.85,140.82,500
188,140.82,141.56,139.83,140.66,500
189,140.66,145.62,138.39,142.46,500
190,142.46,150.50,138.41,146.51,500
191,146.51,152.05,145.19,150.75,500
192,150.75,156.57,149.58,155.30,500
193,155.30,158.10,147.44,151.24,500
194,151.24,155.27,146.36,151.09,500
195,151.09,155.83,146.19,147.50,500
196,147.50,147.94,146.01,146.99,500
197,146.99,154.74,144.38,149.98,500
198,149.98,157.87,148.03,153.83,500
199,153.83,158.66,151.80,151.93,500
200,151.93,152.97,146.81,150.35,500
